garbigune,site_key,codigo_postal,direccion,lat,lon,fuente
AMOREBIETA-ETXANO,AMOREBIETA-ETXANO,48340,ZELAIETA AUZOA,43.212942,-2.7238994,https://garbiker.bizkaia.eus/es/listado-garbigunes
MUSKIZ,MUSKIZ,48550,LA SONDA CTRA. COBARON A POBEÑA,43.343241,-3.138879,https://garbiker.bizkaia.eus/es/listado-garbigunes
IGORRE,IGORRE,48140,"Bº OLABARRI, 37",43.158391,-2.785176,https://garbiker.bizkaia.eus/es/listado-garbigunes
BASAURI,BASAURI,48970,Bº SAN MIGUEL (JUNTO A SIDENOR),43.230629,-2.890546,https://garbiker.bizkaia.eus/es/listado-garbigunes
DURANGO,DURANGO,48200,"DURANGO POLÍGONO MOTORRETAS, 4",43.1625539,-2.6194074,https://garbiker.bizkaia.eus/es/listado-garbigunes
GETXO,GETXO,48992,AVDA. DE LOS CHOPOS. JUNTO A FADURA,43.345538,-2.99963,https://garbiker.bizkaia.eus/es/listado-garbigunes
BAKIO,BAKIO,48130,"ARTZALDE, 5 BAJO",43.409048,-2.813953,https://garbiker.bizkaia.eus/es/listado-garbigunes
DERIO,DERIO,48160,"LARRAURI, S/N",43.289516,-2.879112,https://garbiker.bizkaia.eus/es/listado-garbigunes
ORDUÑA,ORDUÑA,48460,SANTA CLARA S/N,42.992924,-3.003622,https://garbiker.bizkaia.eus/es/listado-garbigunes
SESTAO,SESTAO,48910,VEGA NUEVA S/N,43.305858,-2.998919,https://garbiker.bizkaia.eus/es/listado-garbigunes
ZALLA,ZALLA,48860,"BASOAGA, S/N",43.210586,-3.17495,https://garbiker.bizkaia.eus/es/listado-garbigunes
SOPELA,SOPELANA,48600,"SABINO ARANA, APROX 93",43.380972,-2.96632,https://garbiker.bizkaia.eus/es/listado-garbigunes
BARAKALDO,BARAKALDO,48902,LA FLORIDA CON RESURECCIÓN Mª DE AZKUE,43.291719,-2.985555,https://garbiker.bizkaia.eus/es/listado-garbigunes
ERANDIO,ERANDIO,48950,"ACCESO UNIVERSIDAD, KM.10",43.316812,-2.96815,https://garbiker.bizkaia.eus/es/listado-garbigunes
GERNIKA-LUMO,GERNIKA,48300,"BARRIO SAN PEDRO DE LUNO, 21",43.31273,-2.692271,https://garbiker.bizkaia.eus/es/listado-garbigunes
SANTURTZI,SANTURTZI,48980,"DE LOS HOYOS, S/N. BARRIO CABIECES",43.319486,-3.033622,https://garbiker.bizkaia.eus/es/listado-garbigunes
GAUTEGIZ ARTEAGA,GAUTEGIZ ARTEAGA,48314,BARRIO BASETXETA (ANTIGUA CANTERA),43.3628,-2.64052,https://garbiker.bizkaia.eus/es/listado-garbigunes
MUNGIA,MUNGIA,48100,MUNGIA-MARURI (JUNTO A LA VARIANTE),43.359481,-2.844544,https://garbiker.bizkaia.eus/es/listado-garbigunes
KARRANTZA,KARRANTZA,48891,KONTXA AUZOA,43.228529,-3.362406,https://garbiker.bizkaia.eus/es/listado-garbigunes
BERMEO,BERMEO,48370,"LANDABASO, 6",43.421469,-2.735604,https://garbiker.bizkaia.eus/es/listado-garbigunes
AMOROTO,AMOROTO,48289,LEGARRETA AUZOA,43.346948,-2.500933,https://garbiker.bizkaia.eus/es/listado-garbigunes
MARKINA XEMEIN,MARKINA,48276,UBILLA URBERUAGA,43.285939,-2.495829,https://garbiker.bizkaia.eus/es/listado-garbigunes
GÜEÑES,GÜEÑES,48840,OTXANDOTEGI AUZOA,43.196064,-3.068018,https://garbiker.bizkaia.eus/es/listado-garbigunes
