residuo_aw,familia_aw,subfamilia_aw,descripcion_familia,ejemplos,criterio
RCDS: ESCOMBROS,RCD y obra,Escombro,Residuos de construcción y demolición registrados como entradas AW.,Escombros; cristales; escayola; pladur; puertas y ventanas de obra,Fracción AW vinculada a obra o RCD
"OTROS RCDS: VARIOS (CRISTALES, ESCAYOLA, PLADUR, ETC.)",RCD y obra,RCD mixto,Residuos de construcción y demolición registrados como entradas AW.,Escombros; cristales; escayola; pladur; puertas y ventanas de obra,Fracción AW vinculada a obra o RCD
OTROS RCDS: MADERAS,RCD y obra,RCD madera,Residuos de construcción y demolición registrados como entradas AW.,Escombros; cristales; escayola; pladur; puertas y ventanas de obra,Fracción AW vinculada a obra o RCD
OTROS RCDS: PLÁSTICOS,RCD y obra,RCD plástico,Residuos de construcción y demolición registrados como entradas AW.,Escombros; cristales; escayola; pladur; puertas y ventanas de obra,Fracción AW vinculada a obra o RCD
OTROS RCDS: PUERTAS/VENTANAS,RCD y obra,RCD puertas/ventanas,Residuos de construcción y demolición registrados como entradas AW.,Escombros; cristales; escayola; pladur; puertas y ventanas de obra,Fracción AW vinculada a obra o RCD
OTRAS MADERAS,Madera y voluminosos,Madera y palets,Maderas y objetos voluminosos no eléctricos de origen doméstico.,Maderas; muebles; sofás; colchones; somieres; puertas; palets,Objeto voluminoso o madera no clasificado como RCD
MUEBLES MADERA,Madera y voluminosos,Muebles,Maderas y objetos voluminosos no eléctricos de origen doméstico.,Maderas; muebles; sofás; colchones; somieres; puertas; palets,Objeto voluminoso o madera no clasificado como RCD
COLCHÓN,Madera y voluminosos,Descanso,Maderas y objetos voluminosos no eléctricos de origen doméstico.,Maderas; muebles; sofás; colchones; somieres; puertas; palets,Objeto voluminoso o madera no clasificado como RCD
SOFÁ,Madera y voluminosos,Sofás y butacas,Maderas y objetos voluminosos no eléctricos de origen doméstico.,Maderas; muebles; sofás; colchones; somieres; puertas; palets,Objeto voluminoso o madera no clasificado como RCD
ARMARIO GRANDE,Madera y voluminosos,Muebles,Maderas y objetos voluminosos no eléctricos de origen doméstico.,Maderas; muebles; sofás; colchones; somieres; puertas; palets,Objeto voluminoso o madera no clasificado como RCD
ARMARIO MEDIANO,Madera y voluminosos,Muebles,Maderas y objetos voluminosos no eléctricos de origen doméstico.,Maderas; muebles; sofás; colchones; somieres; puertas; palets,Objeto voluminoso o madera no clasificado como RCD
